TCGA.A7.A0CE.11	TCGA.A7.A0CH.11	TCGA.A7.A0D9.11	TCGA.A7.A0DB.11	TCGA.A7.A13E.11	TCGA.A7.A13F.11	TCGA.A7.A13G.11	TCGA.AC.A23H.11	TCGA.AC.A2FB.11	TCGA.AC.A2FF.11	TCGA.A1.A0SK.01	TCGA.A1.A0SP.01	TCGA.A2.A04P.01	TCGA.A2.A04Q.01	TCGA.A2.A04T.01	TCGA.A2.A04U.01	TCGA.A2.A0CM.01	TCGA.A2.A0D0.01	TCGA.A2.A0D2.01	TCGA.A2.A0ST.01	TCGA.A2.A0SX.01
AARSD1	692.6984	574.33	478.6151	402.0619	362.5084	415.806	355.429	373.5576	464.2541	597.1826	421.9981	489.6023	631.7427	481.6815	387.3772	1400.1818	533.9795	476.112	518.5733	390.1187	373.4746
AASDH	314.9206	256.1354	315.1731	250	348.3594	398.2937	377.7959	453.35	350.2953	357.1359	270.7217	288.216	204.8755	445.0444	411.7187	99.7532	185.5313	154.4481	165.219	236.98	122.6718
AASDHPPT	655.5016	662.3413	599.2872	679.8969	740.1417	720.2515	926.7995	899.9016	702.5662	879.7056	1605.7233	661.4374	578.3195	669.4948	689.5592	476.4255	707.9543	1274.2998	729.2552	738.3168	618.8182
AASS	592.6984	347.5317	664.4603	759.7938	458.6244	519.533	2510.7767	922.0861	490.1128	502.7288	49.7951	37.9424	200.7261	170.0733	70.938	88.3232	88.1505	11.5321	223.2489	136.8838	159.9229
AATBC	89.2063	43.6295	12.7291	23.1959	20.9796	30.9834	13.4201	33.6345	44.501	47.5063	213.6779	61.6563	40.9751	91.7856	29.2098	25.4579	57.6901	9.061	11.4581	148.8611	59.088
AATF	1138.7302	1040.7146	1019.8574	960.8247	593.2843	725.6399	684.0179	803.2919	969.7017	870.2043	1714.4658	1186.4283	857.3651	1349.4022	1100.5825	1834.524	1396.1001	2289.1269	1257.4386	1401.7752	1309.2486
AATK	91.746	43.6483	30.0407	33.701	37.0803	53.8841	18.7068	22.5423	45.1235	43.6108	59.8802	20.0657	49.3205	43.5789	35.8376	58.7089	11.538	55.6013	35.4833	39.7818	15.0931
AATK-AS1	0	0.7522	0.5092	0	0.4879	0	0.8133	0	0	0	0.3152	0	0.5187	0	0	0	0	0	0	0	0
ABAT	1226.3492	619.464	224.5418	264.433	485.4588	272.564	482.7166	457.286	657.2924	1002.1043	57.9893	48.5224	67.4274	138.8353	78.9359	54.033	77.5355	18.5338	56.5515	221.1528	150.289
ABCA1	719.9524	1714.2793	3383.7984	7357.8763	4199.2333	1763.3229	7194.9858	1913.5558	1638.0893	1343.0041	833.9111	523.5206	271.7842	1024.2808	590.7781	157.9426	770.2273	302.7183	301.6078	760.1241	1036.5511
