TCGA.A7.A0CE.11	TCGA.A7.A0CH.11	TCGA.A7.A0D9.11	TCGA.A7.A0DB.11	TCGA.A7.A13E.11	TCGA.A7.A13F.11	TCGA.A7.A13G.11	TCGA.AC.A23H.11	TCGA.AC.A2FB.11	TCGA.AC.A2FF.11	TCGA.A1.A0SK.01	TCGA.A1.A0SP.01	TCGA.A2.A04P.01	TCGA.A2.A04Q.01	TCGA.A2.A04T.01	TCGA.A2.A04U.01	TCGA.A2.A0CM.01	TCGA.A2.A0D0.01	TCGA.A2.A0D2.01	TCGA.A2.A0ST.01	TCGA.A2.A0SX.01
CTAGE10P	2.2222	1.5045	2.0367	1.5464	1.4637	2.6942	0.8133	3.2203	1.2027	3.3534	0	2.189	0	1.9283	0.3477	0	0.923	0.4119	2.9569	2.1388	2.2479
CTAGE11P	5.0794	4.5134	4.5825	5.1546	3.4153	6.2865	3.66	10.7344	6.0137	9.5013	1.891	2.189	6.7427	7.3274	8.6934	0.5195	2.7691	5.7661	8.8708	9.8385	3.5324
CTAGE15	26.9841	80.489	21.3849	8.2474	27.3223	52.9861	17.0801	143.8411	106.141	80.2019	16.3883	6.2021	45.1245	2.6996	67.1129	25.4579	25.3836	65.0741	22.177	35.932	36.93
CTAGE4	14.9206	35.7311	13.7475	15.4639	30.2497	43.5564	13.0134	110.9223	56.5283	57.0076	29.9401	6.9318	113.0705	0	51.1171	18.1842	28.1528	62.603	19.5897	30.7988	43.3526
CTAGE5	1060.0254	599.4509	565.3768	497.0979	585.1413	811.1899	533.7536	717.8746	670.5645	1063.1918	502.0076	733.2944	546.25	1003.7138	582.4533	291.4664	557.9462	401.9769	1414.4003	1024.1472	580.6872
CTAGE6	0.9524	1.8806	1.5275	0	2.4395	3.1432	3.66	19.6798	4.5102	9.7807	4.4122	0	11.4108	1.157	7.6502	6.2346	2.3076	10.7084	5.5443	5.5609	4.4958
CTAGE9	61.5873	124.4946	59.5723	24.7423	75.1363	124.3826	53.2737	389.6592	184.3185	185.8336	63.0318	27.7271	285.2697	0.3857	168.6517	67.0217	74.3048	163.0972	66.5311	103.0906	102.1195
CTBP1	2325.8508	2841.922	1967.5255	1951.3557	1898.139	1929.3489	1377.0069	1364.8913	2030.9042	2208.659	2992.9436	3492.9405	5657.8164	3215.565	1928.909	1742.4081	2002.1738	2756.2479	2413.3506	1901.3111	3914.2486
CTBP1-AS2	362.5397	376.1166	349.7963	326.2887	311.2791	362.8199	318.8288	313.087	352.4001	380.3301	327.7655	477.5629	471.9917	441.5735	327.219	93.5186	289.835	231.8781	249.1222	272.912	303.7893
CTBP2	1730.4762	1412.3178	870.1629	970.1031	1031.417	1383.9246	960.9597	1828.7861	1580.689	2202.3379	1758.2729	1225.83	1824.1701	2875.8195	1673.6504	2825.8215	3201.5692	1828.6656	2045.4629	1678.5371	2306.3584
CTBS	475.781	535.5449	441.446	554.1237	517.6601	422.0835	554.2822	535.2715	479.8204	504.9421	183.098	494.3269	309.6473	548.7813	212.0977	552.2795	304.996	191.5033	255.3909	501.7389	467.5466
CTC1	864.4444	672.8726	497.9633	525.2577	564.4983	834.7553	660.8377	768.584	775.16	894.5164	258.1153	326.5232	289.4191	539.1438	472.9201	167.814	595.8232	211.285	286.8231	613.8381	631.9846
CTCF	1791.1111	1286.3188	1208.7576	1215.4639	1262.6808	1420.2964	1063.0338	1659.898	1575.2767	1771.9864	1956.1929	1446.1875	1282.6763	1583.494	1948.0136	1335.2383	1548.8635	1689.4563	1909.8133	1749.9733	2037.8934
CTCFL	9.0127	7.2929	14.7658	8.8866	7.3477	4.9394	6.6572	14.631	10.0969	8.7747	269.7132	26.4757	14.0923	14.9441	20.1478	44.2395	22.3791	38.4926	20.0961	11.1304	17.964
CTDNEP1	2035.2381	2307.4753	1988.2892	2200	1759.8491	1978.4463	2075.6405	1882.4582	2225.3527	2044.1697	1494.4847	1412.988	2316.9087	2555.727	1929.2359	1401.2209	1468.5589	2493.4102	2447.9763	2363.8114	1888.8889
CTDP1	583.4921	582.9807	351.833	307.732	274.6867	326.8972	185.8479	217.9086	368.9377	392.3464	651.434	955.8555	228.7344	466.641	534.4693	293.0251	561.6707	449.7529	869.7099	575.3395	512.203
CTDSP1	3095.5556	4452.4683	3717.4134	3649.4845	3273.3096	3559.4971	3167.9545	2871.8132	3775.6727	3061.0848	734.636	1659.2484	2750.5187	2414.9634	1656.2636	3074.685	1774.0856	2078.2537	1923.4892	2317.1853	2385.3565
CTDSP2	4908.5714	6492.1486	9431.2627	9397.4227	8720.2062	8632.2407	11220.0081	9473.1192	8809.4017	6716.5576	6389.2216	3839.8395	2427.3859	4099.8843	4871.4248	5035.4592	3535.2486	4953.4596	3680.2809	5242.2201	7004.4958
CTDSPL	2009.5238	1381.8524	1239.3075	1180.9278	1541.7586	1953.7494	1420.0895	2614.5451	2241.2888	1733.4224	765.2064	1139.0004	315.3527	662.1674	937.8423	462.3977	620.7454	1077.8418	1041.2123	879.9059	851.3166
CTDSPL2	483.8095	388.5284	594.7047	574.2268	637.6831	667.2654	791.7853	886.3047	693.9757	739.1427	1225.3388	690.6239	347.5104	491.3228	836.999	466.5541	806.2767	468.6985	570.6893	781.0929	1007.7071
CTF1	265.3968	325.717	278.0041	127.3196	240.046	312.079	245.6283	261.5619	287.152	162.9188	11.6609	14.2284	121.3693	90.243	100.8433	20.7819	36.4601	20.1812	55.4426	55.609	138.7283
CTGF	10051.746	10460.1787	6405.8045	4624.7423	6906.6882	16081.7243	6400.5693	4579.6583	12866.2127	2218.8254	6475.8903	4256.8406	5129.1494	4480.5245	1611.7535	3410.8326	4512.288	2576.6063	6066.9008	1751.2566	10750.1606
CTH	59.0476	75.9756	54.4807	53.6082	59.0357	54.7822	239.1216	88.38	64.6468	70.7006	7.879	4.7428	37.3444	70.5746	19.8209	11.4301	119.5339	20.5931	129.7357	20.5326	15.0931
CTHRC1	362.5397	675.8815	437.3727	836.5979	381.5365	392.9053	245.6283	1093.4788	329.5482	254.2986	482.1935	2740.6056	2120.332	3551.8704	735.1126	1362.2548	1275.6432	236.4086	1846.6088	481.232	2343.6095
CTIF	1113.3333	2960.4137	4626.7821	2419.5876	3459.1989	2726.0889	3188.6946	743.8948	1606.8483	910.445	1272.6127	912.4407	573.6515	405.7077	950.7085	888.4271	884.7352	402.3888	1742.7463	375.147	689.7881
CTLA4	33.9683	15.4208	8.1466	5.1546	37.0803	21.5537	9.7601	4.2938	9.3212	30.4599	0.6303	57.2784	95.4357	240.2622	155.7854	75.3345	164.7629	42.0099	90.1867	319.9658	195.2473
CTNNA1	9584.4444	10512.835	11196.0285	8963.4021	10915.2606	10692.4113	9068.7271	9609.0885	10298.6832	9755.007	6440.9077	7589.5659	7033.7137	5300.8099	6578.1101	8994.4149	6074.9971	6524.7117	7440.0296	6390.7603	8547.2062
CTNNA2	0	4.1373	1.0183	0.5155	0.4879	0.449	1.6267	2.8625	0.902	5.589	1015.4428	468.0773	0	0	1.7387	0	0	0	0.3696	0	2.2479
CTNNA3	0.9524	4.1373	6.11	4.1237	13.6612	3.1432	6.9134	7.5141	3.9089	2.2356	6.9335	1.8242	3.112	0.7713	2.7819	7.2737	0.4615	2.4712	0.3696	5.1331	3.5324
CTNNAL1	956.8254	734.9318	1355.9063	1150.5155	648.4168	747.1935	2564.0504	1019.4114	843.415	612.5523	1937.5985	766.8734	242.2199	562.6687	818.9168	408.8843	309.2189	367.7924	1701.3491	482.943	173.4104
CTNNB1	14328.1587	8579.9116	6671.0234	6794.2216	10246.274	11773.1163	7470.7849	14053.3643	12250.2943	17107.7388	5752.8837	7670.5144	3741.6649	18261.801	7353.1079	13837.6361	8726.3505	8729.3904	12711.4803	10170.8438	3762.3025
CTNNBIP1	1249.5238	1413.0701	957.7393	784.5361	1161.1979	1124.8316	1040.6669	882.0109	1055.9976	1144.0644	2334.699	1575.7023	2316.9087	1215.5804	2196.6444	2080.2702	1461.6361	1039.1269	1111.4397	1226.8207	1292.5498
CTNNBL1	1110.1587	1060.2727	1031.5682	919.0722	692.3277	782.6673	645.791	922.4439	1044.5717	840.5827	919.9496	1468.4422	902.4896	1578.8662	963.227	1517.0801	1333.3333	1933.2784	1078.5437	1116.8859	1010.9184
CTNND1	7170.1587	5764.7391	6369.1446	5950	7777.5867	8349.1334	7426.5962	12032.0422	7991.8455	11066.4614	5905.6886	7055.4542	5175.3112	8210.1813	8934.5075	4405.2474	6893.7349	6712.1087	6987.6178	7152.1762	7093.4489
CTNND2	113.0159	58.6742	12.22	13.9175	77.0879	65.559	32.5336	92.3159	58.0318	205.6745	59.8802	140.4597	23.8589	22.3679	215.5959	1.0391	3.2306	0.4119	159.6747	23.9547	14.4509
CTNS	427.2508	525.6455	485.0356	531.8711	442.2115	424.5128	496.2017	451.2246	454.1542	443.0469	194.9701	275.2645	221.4056	323.1855	299.2506	603.7667	354.111	179.5305	368.8302	353.5964	361.5125
CTPS1	383.4921	278.7024	165.9878	269.0722	234.6791	271.2169	150.4677	351.3731	296.7738	522.8492	2690.1986	2295.5126	902.4896	780.5631	2264.4528	913.8849	1300.1038	2063.4267	4240.621	723.7729	1071.6121
CTPS2	644.7619	567.5599	467.9226	335.0515	434.2295	577.9075	497.3566	731.3713	556.8644	632.9521	1037.5039	675.6658	769.7095	578.4805	748.3265	386.5437	451.8288	303.1301	1102.9385	784.515	882.4663
CTR9	1504.127	1387.4941	1568.7373	1352.0619	1516.8758	1318.3655	1295.6486	1606.226	1550.9214	1861.9689	1430.8226	1279.8249	567.9461	1286.9263	994.1754	754.9032	1511.4803	774.7117	1032.7111	1484.761	1108.2209
CTRB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3477	0	0	0	0	0	0.6423
CTRB2	0	0	0	0	0	0	0	0.3578	0	0.5589	0	0	0.5187	0	0	0	0.4615	0	0.3696	0	0
CTRC	0.9524	2.6328	0	0	0.4879	0.449	0.8133	0.3578	0.6014	0.2794	0	0	2.0747	0	0	0	0	0	0.3696	0.8555	0
CTRL	8.5714	6.0179	7.2963	5.6701	1.9516	8.9807	1.6267	2.5047	2.7061	6.7068	3.1516	12.0394	11.4108	16.9688	9.7366	18.3297	26.0113	29.2422	15.2135	16.3491	10.2762
CTSA	2319.1587	3174.977	3751.3595	4091.3299	3725.0205	2401.8949	3324.876	2056.9496	2553.0307	2528.8098	655.6035	3682.116	2593.8797	3506.8415	1854.1702	7144.772	3881.6753	4243.4432	2484.1101	2617.2388	2319.0591
CTSB	16977.4603	23474.9412	20564.1548	59143.299	23055.6338	15266.2775	13789.3453	10727.2565	13635.9604	19542.1507	6153.4825	18840.5691	9210.0622	38576.5523	22833.0001	12094.0382	34307.6036	32057.6606	19396.7843	19506.363	27381.824
CTSC	2571.4286	3145.8392	2662.4236	5088.1443	4820.4351	2104.176	3966.2464	2063.8698	3382.079	2235.3129	928.774	3247.355	4758.2988	6800.2314	3013.8225	1378.8804	1979.4623	4348.4349	2440.2144	5514.2765	2647.0777
CTSD	25421.2698	24471.2741	13734.7251	33575.7732	12715.1174	9894.4769	9059.3737	7739.5116	11201.0319	23903.7913	7698.0775	24582.2692	10128.112	22595.8349	21994.2624	10085.4656	23361.7169	22451.8122	13411.569	15561.972	18153.1792
CTSE	1.9048	7.8984	3.055	3.6082	0	0	0	0	0.6014	8.104	5.6729	103.9767	0.5187	4.6278	0.3477	2.0782	0	17.71	0	35.0765	0.6423
CTSF	2264.127	3321.1095	2875.2546	2302.0619	2220.913	2700.4939	2175.6812	3572.7704	3139.1274	1271.7726	2188.15	826.7056	413.3817	1158.5037	890.2026	1163.268	279.22	1022.6524	496.7658	754.9995	725.4335
CTSG	403.4921	156.8406	204.6843	296.3918	123.9262	93.8482	165.1078	382.1451	514.7688	100.8811	0	20.4305	0	4.2422	2.0864	0	2.3076	1.2356	12.9366	14.9717	8.6705
CTSH	2953.3333	2844.9459	1374.7454	1768.0412	1475.8923	1458.4643	620.5775	1384.3814	2504.6869	2826.0681	777.1825	1394.0168	1704.8755	5581.1801	2311.0493	1911.4171	1450.0981	1943.1631	1251.1551	5530.5315	2279.3834
CTSK	6221.9048	5469.4875	4597.7597	5594.3299	4207.6349	3896.722	2607.9707	14642.0968	7145.7244	3986.62	543.6495	2527.9095	1123.444	4174.3155	1102.6689	2779.5818	2975.424	437.8089	2221.0312	2472.8906	9095.6969
CTSL	2409.5238	2430.8416	2870.6721	9900.5155	2710.275	1907.9479	2501.4233	1343.5907	2380.5049	1908.9164	1094.2326	1504.9252	1634.8548	2913.2279	1844.7362	829.1986	4196.1463	1100.9061	2372.5744	1772.6446	2149.0045
CTSL3P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSO	1347.619	1148.284	1538.1874	1476.2887	1517.8516	1245.6219	1408.2961	2730.8346	1685.6272	1697.3735	145.9187	659.9781	433.61	1524.489	277.4928	244.7071	718.1262	172.9819	331.9165	1999.3584	817.2768
CTSS	1440.9524	2645.228	2319.7556	5432.4742	2722.4725	1135.6084	1429.4429	1958.3147	2591.8849	3358.4185	252.7576	2921.9263	1893.1535	7623.9877	2405.981	619.8208	4602.2845	729.8188	1298.0965	9209.2824	4516.6988
CTSV	63.1746	101.9276	7.6375	9.2784	20.9796	117.198	0.8133	124.1614	132.9018	74.3334	208.9505	408.61	254.1494	137.6784	1419.1081	1685.4137	107.9958	478.1713	1095.5461	38.0708	380.2184
CTSW	142.2222	113.2111	64.1548	60.3093	94.1644	122.1374	25.2135	115.216	201.7581	72.3773	0.9455	111.6381	67.4274	440.0309	230.5486	14.5473	118.6108	93.0807	110.8852	553.0959	29.2229
CTSZ	8138.7302	8147.4377	6943.9919	18159.7938	5175.6251	4370.9026	2631.1509	2870.7398	5064.098	5609.3805	1645.446	6650.1277	5057.5726	15076.3594	6112.4924	2766.5931	5029.1912	12875.6178	4557.0135	7732.6489	6541.7469
CTTN	4662.8571	4461.1189	3735.2342	3067.0103	3336.2485	3709.0256	2429.8495	3251.8114	4122.6605	4086.1038	4531.6735	3807.7344	7309.1286	3332.4335	5397.2007	4945.0578	2925.1183	6839.7858	8139.7154	2535.7716	3209.0559
CTTNBP2	183.8095	166.9958	310.5906	277.3196	235.6549	237.0903	266.3684	240.4508	198.7513	221.8825	14.1822	57.6432	16.0788	14.6548	5.5638	2.5977	6.9228	0.8237	10.3493	41.9207	31.1496
CTTNBP2NL	850.7937	745.4631	863.0346	1027.3196	1076.3036	1267.6246	939.4063	1207.6214	951.3601	995.6769	1260.3215	1105.436	942.9461	835.3259	625.5759	955.9683	1310.2573	469.5222	579.5602	1225.5374	1626.5254
CTU1	54.6032	46.6385	21.8941	26.8041	18.0522	22.9008	10.5734	24.3313	23.7539	37.1667	62.0864	117.8402	49.7925	62.0902	38.5986	200.026	81.6892	40.7743	94.6221	64.1643	33.7187
CTU2	244.2127	182.8905	119.6741	127.9845	145.6962	130.6825	58.5929	75.4486	156.2438	192.4454	244.8881	485.1003	574.2583	264.462	399.7149	328.6505	336.7301	332.5124	830.7115	277.9425	210.3854
CTXN1	173.6508	121.4857	9.6741	47.4227	71.2332	30.9834	3.2534	59.0393	75.4714	180.2446	471.4781	1978.475	118.7759	191.6699	341.1284	1738.4076	185.5313	169.687	155.9786	149.7166	771.034
CTXN2	0.6349	0	0	0	0	0	0	0	0	0.2794	6.6183	4.378	9.3361	1.9283	1.0432	12.9887	0	0	0.7392	0	3.5324
CTXN3	2.5397	0.7522	0	0	1.9516	0	0	2.5047	0.902	0.8383	0	0	0	0	0	0	0	228.5832	0	0.4278	0.3211
CUBN	56.8254	69.9577	179.2261	280.4124	82.9427	175.1235	237.0882	179.6225	62.8427	65.95	14.1822	28.0919	82.4689	21.9823	14.2572	103.3901	18.9223	12.7677	55.4426	97.9574	64.5472
CUEDC1	396.1905	396.0508	452.6477	438.1443	376.1696	406.3763	167.5478	215.4039	385.1745	313.2624	365.8998	308.2816	78.3195	291.5542	474.6588	291.986	245.529	210.4613	324.1545	233.1301	312.781
CUEDC2	1096.1905	1021.5327	774.4399	744.3299	575.72	639.8743	504.27	484.4798	723.7433	812.3584	841.7901	700.1094	1174.7925	897.4161	785.8819	1084.8162	908.2728	615.7331	623.175	892.7387	782.2736
CUL1	1609.2063	1327.3155	1735.7434	1201.5464	1467.5981	1528.0647	1803.172	1614.2159	1639.0996	1357.7898	2576.7413	1803.3564	1816.39	2112.2252	2679.6488	1507.2087	2099.4577	2915.1565	2864.9048	2039.0718	1913.359
CUL2	872.381	608.5567	949.0835	814.9485	848.943	788.0557	979.2599	773.2355	732.4631	781.0601	1188.4652	662.5319	688.7967	1142.6919	715.9871	1859.9818	1257.6439	794.4811	1277.7675	867.073	1102.4406
CUL3	1909.5238	1555.2421	1681.7719	1640.2062	1605.6733	1643.0175	1873.5258	2007.3352	1845.5904	1974.028	3905.1371	2299.1609	1935.6846	1543.7717	1576.9799	1670.8663	1903.7729	1238.8797	1064.1286	1520.2652	2033.3976
CUL4A	1608.8889	1625.5759	1961.3035	1859.2784	1687.1523	1684.7777	2307.8487	1867.0722	1643.5316	1994.9867	4282.6978	1900.4013	1043.0498	1343.2318	7656.0897	1350.8248	1931.0027	2736.4086	4277.9523	2819.8054	2127.1676
CUL4B	1842.5397	1530.4184	1906.8228	1778.866	1825.7154	1894.4769	2365.5958	3124.4297	2075.6127	2024.0494	2696.8169	1385.9905	1886.9295	1281.9128	2871.251	1607.4815	2379.1393	798.1878	2164.8494	3026.4143	1939.6275
CUL5	814.6032	777.0569	1037.6782	954.6392	1022.6348	987.427	1385.9292	1174.7026	933.6198	1061.068	1835.8021	704.1226	363.5892	541.0721	683.3	321.6002	775.3548	984.7611	592.4968	890.1722	766.2171
CUL7	1311.3429	1080.9177	847.6731	930.9227	808.9256	1168.6709	792.9606	837.6098	1082.1029	1338.5022	408.2729	900.0219	1174.2635	768.1951	1363.7695	610.9677	906.8513	853.7521	1276.5884	1478.3189	2064.4669
CUL9	797.7778	633.0042	539.7149	533.5052	534.7365	697.7997	555.5104	554.2535	682.249	809.2844	394.8944	542.1379	402.4896	390.6672	595.323	615.1448	632.7449	268.1219	406.9488	636.0817	682.4021
CUTA	2472.0635	2376.3047	1165.9878	1213.9175	1503.2146	1680.7364	1223.2615	1986.2242	1971.5765	1898.2973	3716.0416	2551.9883	6752.0747	2737.3698	2769.3645	4007.2737	2595.5925	1768.5338	3051.192	2407.0153	2002.2479
CUTC	357.5841	648.0827	812.4084	593.6289	560.9952	533.0175	522.1716	451.2282	535.0558	232.8984	180.9392	158.6538	292.9098	427.8326	236.4601	417.3477	357.8493	271.8946	285.0601	292.7088	263.3237
CUX1	1241.9048	1645.8862	1489.3075	1398.9691	1674.4669	1323.3049	1427.8162	997.2269	1220.7718	1163.6258	2225.0236	1427.946	1514.5228	1180.4859	731.2875	1233.4069	603.2076	1159.3904	1149.5103	1181.4779	821.4515
CUX2	48.254	104.9365	7.1283	5.1546	13.6612	3.1432	4.4734	7.8719	59.2345	456.8992	873.9363	3.6483	4.1494	5.3992	3.1296	0.5195	1.3846	0.8237	3.3266	7.2719	11.8818
CUZD1	21.5937	16.3912	9.9287	11.768	5.9865	10.3952	13.1924	23.537	17.3855	17.3258	83.0287	20.9923	39.3568	30.4936	11.9795	2403.9382	25.1667	13.0354	27.0893	20.0321	54.6821
CWC15	890.1587	804.8895	862.5255	714.9485	705.9888	761.5626	850.7523	798.6403	742.0849	752.2768	1007.879	640.2773	1424.7925	951.7933	1216.0306	2940.1221	681.6661	1155.6837	617.6308	663.4585	1238.5999
CWC22	695.873	542.7362	741.8534	640.2062	672.3238	760.2155	767.7918	864.478	738.4767	722.0963	821.9351	641.3718	760.3734	716.1589	964.2702	947.136	820.1223	682.0428	529.6618	713.5066	809.8908
CWC25	465.0794	415.985	552.9532	390.2062	360.5568	423.4396	449.7763	337.7762	456.4363	437.8966	322.723	199.927	214.2116	332.8191	327.219	263.4108	441.2138	224.8764	327.8507	485.9373	404.9454
CWC27	530.4762	367.842	575.3564	401.5464	429.3505	418.5002	477.8365	518.1143	468.7643	453.8252	502.6789	584.0934	358.9212	478.5962	525.7759	335.1085	476.2894	281.3015	548.8819	451.2886	353.8857
CWF19L1	545.0794	466.3846	344.7047	420.6186	466.4308	455.7701	463.1964	433.3125	427.5708	444.6034	585.2506	372.127	420.1245	517.1616	595.6707	803.7407	774.8933	696.8699	513.7682	602.7163	715.1574
CWF19L2	585.3968	549.1302	706.721	582.4742	486.9225	540.1886	663.6844	782.8965	697.2832	444.324	579.8928	353.1558	159.2324	372.1558	262.1925	114.8201	275.0663	595.9638	311.9571	524.8637	263.9692
CWH43	6.3492	1.5045	0	0	0	0	0	17.5329	7.2164	48.9036	192.2471	583.3637	36.8257	10.7983	6.607	0	13.8456	0.4119	0	1.2833	110.4689
CX3CL1	8371.1111	6609.4969	2251.5275	863.4021	2205.7882	15143.242	1452.623	5860.9894	6367.2569	6087.5178	510.5578	399.1244	4244.2946	19700.7327	2742.5889	503.9616	1640.7061	2244.2339	2085.012	6817.6666	1485.5491
CX3CR1	629.8413	333.2393	120.6721	133.5052	352.2626	489.8967	116.3074	1813.7579	903.2508	856.2319	9.7699	27.3623	81.9502	103.3552	40.685	4.6759	65.5359	63.0148	28.0909	319.9658	84.7784
CXADR	190.7937	44.0056	10.6925	3.0928	93.6765	180.9609	0.8133	362.4653	190.9335	422.5269	1261.2669	786.9391	305.4979	457.3853	115.4481	202.6237	190.6081	222.8171	367.3997	620.6823	1567.1162
CXADRP2	0	0.3761	1.5275	0	1.4637	0.8981	0	0.3578	0.3007	0.5589	0	1.4593	0.5187	0	0	0	0	0.4119	0.7392	0.4278	1.2845
CXADRP3	10.1587	26.3282	1.0183	0	9.2701	4.4903	0	11.8079	2.1048	1.9561	0.9455	0	0	1.9283	0.3477	1.0391	0.923	0.4119	0.3696	2.5666	0
CXCL1	63.8095	31.2177	45.3157	79.8969	76.1121	13.471	11.3867	16.8172	21.0478	103.6756	22.6915	67.4936	32.1577	15.0405	10.0843	55.5916	29.0758	574.547	46.2022	145.439	107.8998
CXCL10	68.254	74.8472	50.9165	429.3814	80.9911	30.9834	108.5807	39.0017	530.705	204.8361	208.6354	2520.2481	1317.4274	10083.6868	1626.0106	187.0373	16739.8177	1746.7051	954.3522	6696.5929	3074.1811
CXCL11	22.8571	25.5759	13.7475	59.7938	11.2217	15.2672	32.9402	14.3126	102.2321	32.1366	16.3883	97.7745	390.0415	3471.2688	614.4484	24.9383	5133.0333	285.0082	310.8483	1501.0159	959.5376
CXCL12	8672.381	10978.4673	10713.3401	9943.8144	14730.6253	11584.194	15215.1281	19994.6328	18317.2894	8178.635	137.4094	860.6348	922.7178	2333.2048	735.8081	1112.8718	1894.081	118.6161	1367.9542	2792.4286	2533.7187
CXCL13	81.5873	315.1857	1.0183	1.5464	1.4637	0.8981	0	2.1469	0.6014	8556.7296	73.1169	90.1131	838.1743	4506.7489	1458.4022	13.5082	624.899	703.0478	927.7398	4787.5094	629.4155
CXCL14	11531.746	9598.8717	15333.5031	6484.0206	6519.7849	6829.3669	6510.7767	19288.3084	17164.1713	3931.0096	139.3003	137.9059	713.1743	1406.479	105.3638	76.8931	725.049	151.5651	230.2717	3434.9267	2283.8793
CXCL16	1588.254	1541.7019	838.5947	901.0309	1082.6463	1251.0103	425.3762	1885.3207	1672.6979	2137.7851	190.041	1681.8679	2739.6266	3904.3579	10880.2921	971.0352	3502.9422	1610.7908	1642.9495	2916.0518	3472.0617
CXCL17	251.746	151.9511	8.1466	6.701	20.9796	15.7162	0	283.3885	95.6171	55.0515	0.6303	8.7559	2940.3527	853.8373	2.0864	299.7792	0	21.8287	9.2404	605.7106	122.0295
CXCL2	617.7778	248.9892	386.4562	63.4021	342.0167	814.0997	263.5218	389.6592	232.127	233.0605	6.3032	16.0525	320.0207	101.4269	9.3889	4.6759	17.0763	134.2669	70.9665	310.1273	23.4425
CXCL3	24.127	9.4029	38.1874	6.1856	15.6127	22.4517	8.9467	19.6798	19.5444	15.9286	8.1941	12.4042	43.0498	23.5249	1.7387	1.0391	5.5382	35.832	8.1316	37.643	5.1381
CXCL5	42.8571	10.5313	1.5275	4.6392	3.4153	21.5537	0.8133	31.4876	4.5102	42.1968	17.3338	736.9573	6.7427	5.0135	4.8683	2.0782	38.7677	304.7776	97.2094	478.6654	68.4008
CXCL6	47.9365	19.9342	0	12.3711	7.8064	6.7355	0.8133	2.8625	6.615	70.9801	5.0425	74.7902	1.556	16.1975	1.0432	86.7645	0.4615	25.5354	5.9139	8.5552	72.2543
CXCL8	36.8254	95.9097	313.1365	103.0928	44.8866	23.7988	44.7336	13.2391	10.5239	69.3034	333.1232	190.4414	62.7593	20.8253	7.3024	46.2398	113.0726	629.3245	33.6352	28.2323	74.8234
CXCL9	154.6032	285.8486	260.6925	355.6701	89.7733	104.6251	65.4738	156.7224	646.1671	342.3251	128.2698	608.1722	1570.5394	17730.8022	5468.4865	158.4621	8329.9873	1548.1878	2161.8924	15711.6886	7405.5877
CXCR1	5.7143	36.1072	159.3686	6.1856	54.6446	20.2066	15.8601	35.4236	10.2232	3.6328	0.3152	4.7428	2.0747	8.0987	1.0432	2.0782	1.3846	4.5305	0.3696	18.8215	4.1747
CXCR2	14.9206	69.2055	236.2525	35.0515	121.9746	49.8428	34.5669	73.7096	27.6628	18.1642	0.6303	17.8767	6.7427	11.9553	4.5206	32.212	7.3843	4.1186	2.2177	38.9263	9.3128
CXCR2P1	1.9048	3.0089	12.7291	22.6804	4.879	4.4903	3.66	4.2938	9.3212	17.0464	1.891	15.3229	68.4647	182.0285	162.0447	2.5977	229.3758	28.4185	89.4474	322.5323	70.6487
CXCR3	34.9206	55.6653	9.165	5.1546	21.4675	22.0027	1.22	28.6251	43.2983	68.7445	3.7819	54.3597	82.9876	491.3228	122.0551	19.7428	211.3765	78.6656	118.2776	501.3368	306.0373
CXCR4	1133.9683	1759.8496	914.4603	553.6082	779.1736	1185.4513	129.3209	569.6395	1453.8009	939.2282	2107.1541	5506.0197	5648.3402	4522.1751	1980.0052	13682.816	1896.8501	525.5354	1970.4306	4766.9768	3092.1644
CXCR5	11.1175	80.1843	2.5458	1.0309	7.3185	2.2452	1.22	2.5047	3.0098	29.9122	4.0971	11.3243	150.0882	213.3783	24.7066	1.5638	49.3827	9.0651	36.2521	543.6852	157.3539
CXCR6	66.3492	26.3282	19.3483	19.0722	34.1529	39.515	6.9134	55.8189	157.5577	89.7031	3.4668	92.6669	98.5477	705.3606	232.9827	12.4692	219.2223	105.4366	128.2573	637.7927	218.3687
CXORF21	42.2222	68.8293	94.7047	116.4948	65.8663	39.515	31.7202	31.4876	76.0727	84.6731	5.3577	60.9267	38.9004	112.6109	56.6809	11.9496	114.9187	30.4778	52.1161	224.5749	127.4888
CXORF23	232.381	174.5181	206.2118	197.9381	223.4574	228.5586	314.3554	242.5977	208.6738	238.37	143.7126	102.8822	122.4066	116.8531	116.1436	109.1051	126.9182	88.9621	109.0371	159.9829	208.4136
CXORF36	1291.4286	2074.283	2392.057	2917.5258	2750.2827	2305.3435	3186.6612	1782.2703	2130.0362	1229.5758	121.3363	227.6541	448.6515	308.1373	170.7381	321.0807	222.9145	97.1993	355.2024	569.3509	260.7579
CXORF38	160	159.8496	219.4501	196.9072	185.8892	216.8837	265.1484	210.3945	205.3663	188.6281	182.4772	121.1237	132.2614	247.9753	183.952	74.8149	164.7629	68.369	127.518	304.9941	247.9127
CXORF40A	525.0794	549.1302	364.053	322.1649	350.7989	351.145	256.6084	348.5106	355.1063	346.7963	375.9849	310.4706	372.9253	381.7971	417.9779	845.3046	560.7477	437.397	329.6988	500.0535	240.8478
